n	series	time
32	x86_64	7345555.318186764
64	x86_64	14326648.489834636
128	x86_64	28045593.480055686
256	x86_64	55544267.53839764
512	x86_64	110372119.50012231
1024	x86_64	220017868.3330402
2048	x86_64	439620555.00014687
4096	x86_64	877526256.001147
8192	x86_64	1733087918.0008197
16384	x86_64	3462345021.0019655
32768	x86_64	6949170035.000861
32	riscv64	6159428.003672007
64	riscv64	12175518.169737699
128	riscv64	24621996.38629782
256	riscv64	48606923.64828927
512	riscv64	97267048.69951521
1024	riscv64	191829741.00112915
2048	riscv64	383671641.3497925
4096	riscv64	781673669.8150635
8192	riscv64	1518000364.3035889
16384	riscv64	3048618316.6503906
32768	riscv64	6139656782.150269
