n	series	time
32	x86_64	7377840.586978773
64	x86_64	14298052.877592808
128	x86_64	28030491.919926133
256	x86_64	55463974.769316755
512	x86_64	110393662.00020595
1024	x86_64	219939187.00051534
2048	x86_64	439192072.0008784
4096	x86_64	876080362.9993461
8192	x86_64	1757512962.0017834
16384	x86_64	3514022325.998667
32768	x86_64	6955869050.001638
32	riscv64	6116839.3918446135
64	riscv64	12403850.044522967
128	riscv64	25112424.57798549
256	riscv64	50011822.15554374
512	riscv64	102477959.22415598
1024	riscv64	202994108.20007324
2048	riscv64	402127385.13946533
4096	riscv64	804183244.7052002
8192	riscv64	1517823457.7178955
16384	riscv64	3128655910.4919434
32768	riscv64	6079336881.637573
