n	series	time
32	x86_64	108228446.83389121
64	x86_64	225269122.33418748
128	x86_64	447560712.5004899
256	x86_64	900314837.9997584
512	x86_64	1799566887.9993901
1024	x86_64	3599165670.0025487
2048	x86_64	6897874865.000631
4096	x86_64	14395500735.998213
8192	x86_64	27591721418.000816
16384	x86_64	55207514759.000336
32768	x86_64	110342644223.99792
32	riscv64	104385813.07729085
64	riscv64	207162539.16422525
128	riscv64	412483096.1227417
256	riscv64	824897527.6947021
512	riscv64	1650068283.0810547
1024	riscv64	3319824695.587158
2048	riscv64	6638570547.103882
4096	riscv64	13279000043.869019
8192	riscv64	26468943357.46765
16384	riscv64	53083447933.19702
32768	riscv64	105743871212.00562
