n	series	time
32	x86_64	650388.3696862876
64	x86_64	1258016.675044216
128	x86_64	2474559.7703152625
256	x86_64	4884338.020980016
512	x86_64	9702117.13886076
1024	x86_64	19387057.83332908
2048	x86_64	38578737.83332858
4096	x86_64	77074217.88897288
8192	x86_64	153548158.19955546
16384	x86_64	308096910.99966586
32768	x86_64	634800191.9977833
32	riscv64	582517.6536373147
64	riscv64	1046894.1663861093
128	riscv64	1978273.4456035376
256	riscv64	3837189.8315765047
512	riscv64	7563108.983247177
1024	riscv64	14995372.041742852
2048	riscv64	29854536.056518555
4096	riscv64	81155816.71396892
8192	riscv64	140447298.68570963
16384	riscv64	247943083.4452311
32768	riscv64	483107805.2520752
