n	series	time
32	x86_64	3586.598122666642
64	x86_64	6405.606207859558
128	x86_64	11852.7997833497
256	x86_64	23128.296306115673
512	x86_64	44556.887170810885
1024	x86_64	87427.61189573638
2048	x86_64	173299.689280002
4096	x86_64	344714.487444682
8192	x86_64	688787.3905348714
16384	x86_64	1376388.9744119856
32768	x86_64	2753239.0866140556
65536	x86_64	5497428.77164257
131072	x86_64	10984540.390609255
262144	x86_64	22020790.437522918
524288	x86_64	44498526.06239802
1048576	x86_64	99006940.71412934
32	riscv64	4465.9504628140885
64	riscv64	7056.347649603971
128	riscv64	11686.18270006225
256	riscv64	21560.29407674942
512	riscv64	40250.11127318845
1024	riscv64	77373.30539487697
2048	riscv64	151693.3945598557
4096	riscv64	300400.1476692059
8192	riscv64	599934.0802660944
16384	riscv64	1202348.639203616
32768	riscv64	2402033.70786693
65536	riscv64	4788170.122120478
131072	riscv64	9564556.487619061
262144	riscv64	19118702.089464344
524288	riscv64	38328912.52305773
1048576	riscv64	88460624.21798706
