n	series	time
32	x86_64	5126.894009667992
64	x86_64	9411.40634912266
128	x86_64	17631.065031424245
256	x86_64	34696.2092930316
512	x86_64	67706.72375410014
1024	x86_64	133787.78631517987
2048	x86_64	266245.7732982838
4096	x86_64	530024.8089459203
8192	x86_64	1059603.1075802979
16384	x86_64	2118227.3413914395
32768	x86_64	4230581.751515715
65536	x86_64	8456020.542183409
131072	x86_64	16902803.146388955
262144	x86_64	33863035.5715092
524288	x86_64	68114441.1999412
1048576	x86_64	146260282.00000292
32	riscv64	6169.028013705154
64	riscv64	10071.412749363104
128	riscv64	17227.44817963987
256	riscv64	32212.94306901434
512	riscv64	60972.728118046114
1024	riscv64	118609.66743038702
2048	riscv64	233782.71537378142
4096	riscv64	464195.2818205249
8192	riscv64	928921.4718563171
16384	riscv64	1853472.9720423461
32768	riscv64	3718155.4956639064
65536	riscv64	7422827.659769261
131072	riscv64	14785168.018746883
262144	riscv64	29507994.651794434
524288	riscv64	58959464.23212687
1048576	riscv64	129231166.83959961
