n	series	time
32	x86_64	52907.60982614594
64	x86_64	95049.35675547496
128	x86_64	177926.11896246925
256	x86_64	344656.9423632968
512	x86_64	678058.1027126665
1024	x86_64	1342753.763911122
2048	x86_64	2670982.251908983
4096	x86_64	5334146.534349771
8192	x86_64	10665457.63635738
16384	x86_64	21318515.03024033
32768	x86_64	42657019.93745097
65536	x86_64	85295863.62510599
131072	x86_64	172198434.9997001
262144	x86_64	348190712.50058186
524288	x86_64	695626407.9999528
1048576	x86_64	1395960046.0002549
32	riscv64	63035.97494743366
64	riscv64	106945.14864939211
128	riscv64	195394.2868770934
256	riscv64	377112.21386449813
512	riscv64	729352.3292182755
1024	riscv64	1434744.7506945725
2048	riscv64	2843593.1942327237
4096	riscv64	5640714.399276241
8192	riscv64	11260740.218623992
16384	riscv64	22486532.888104837
32768	riscv64	44397532.93991089
65536	riscv64	88445514.4405365
131072	riscv64	176827967.16690063
262144	riscv64	353447794.9142456
524288	riscv64	710093736.6485596
1048576	riscv64	1434133291.2445068
