n	series	time
32	x86_64	3055.900898953985
64	x86_64	5552.999206233948
128	x86_64	10256.59412600708
256	x86_64	20205.232756236546
512	x86_64	39074.61738110211
1024	x86_64	76702.10552279672
2048	x86_64	151985.8838225794
4096	x86_64	309233.161731861
8192	x86_64	675323.6425112301
16384	x86_64	1347143.1346190982
32768	x86_64	2685827.22605186
65536	x86_64	5385676.612414225
131072	x86_64	10756144.246149164
262144	x86_64	21687367.09370478
524288	x86_64	43980699.8124368
1048576	x86_64	88579163.37501593
32	riscv64	8709.208616686383
64	riscv64	14840.760942098133
128	riscv64	26885.083655956874
256	riscv64	51810.11924811449
512	riscv64	100084.06059254221
1024	riscv64	196487.48939036654
2048	riscv64	389853.2725123892
4096	riscv64	782986.103754161
8192	riscv64	1624198.6347738386
16384	riscv64	3240135.104157204
32768	riscv64	6330958.279696378
65536	riscv64	12353654.418672834
131072	riscv64	24687562.670026507
262144	riscv64	50017815.36982609
524288	riscv64	101030520.03043039
1048576	riscv64	204993089.04012045
