n	series	time
32	x86_64	219295.06946183578
64	x86_64	217829.9670298399
128	x86_64	218412.72769775408
256	x86_64	219346.01411181942
512	x86_64	221766.62175765372
1024	x86_64	223411.36706862866
2048	x86_64	227445.0665789227
4096	x86_64	233097.84961628573
8192	x86_64	244602.9302163162
16384	x86_64	267789.5517372555
32768	x86_64	315784.93143987295
65536	x86_64	420151.9075065659
131072	x86_64	587939.3159642966
262144	x86_64	927115.0621706122
524288	x86_64	1612574.085249879
1048576	x86_64	2993070.3390613017
32	riscv64	200147.76237492156
64	riscv64	200336.77237062503
128	riscv64	200935.1956994881
256	riscv64	201991.63110654362
512	riscv64	203804.0061155307
1024	riscv64	203937.89109703127
2048	riscv64	206757.64830461104
4096	riscv64	211122.09637576336
8192	riscv64	220131.2216020448
16384	riscv64	238590.5132352149
32768	riscv64	273240.1616307183
65536	riscv64	342561.5407716038
131072	riscv64	477033.6463163723
262144	riscv64	837954.7621431724
524288	riscv64	1369826.9613087177
1048576	riscv64	2541666.9007894155
