n	series	time
32	x86_64	218180.60623017658
64	x86_64	218493.2249613279
128	x86_64	219047.4463563164
256	x86_64	220217.88207545204
512	x86_64	221911.43771772797
1024	x86_64	225626.05736405315
2048	x86_64	225603.88692065468
4096	x86_64	231614.42243674802
8192	x86_64	242908.74878527757
16384	x86_64	267030.7663377662
32768	x86_64	311775.7983086947
65536	x86_64	403785.7514431233
131072	x86_64	588242.7884143549
262144	x86_64	933174.6866664616
524288	x86_64	1617093.3456211763
1048576	x86_64	2987651.397443887
32	riscv64	200212.63244733628
64	riscv64	200628.61948095282
128	riscv64	201068.89132040113
256	riscv64	202429.7044649871
512	riscv64	205281.8225625673
1024	riscv64	205431.96025883057
2048	riscv64	208362.66217523924
4096	riscv64	213023.04973932847
8192	riscv64	222157.20740918803
16384	riscv64	239468.7116003639
32768	riscv64	275221.66976298677
65536	riscv64	354509.3536376953
131072	riscv64	503295.8984375
262144	riscv64	744732.8973323741
524288	riscv64	1283850.8011004247
1048576	riscv64	2505251.1563865086
