n	series	time
32	x86_64	227264.28599156893
64	x86_64	228209.82431593025
128	x86_64	229419.0963930603
256	x86_64	231185.24843282186
512	x86_64	233993.7985295592
1024	x86_64	238513.77709613807
2048	x86_64	245120.34978972163
4096	x86_64	253057.40859817425
8192	x86_64	264889.7612558761
16384	x86_64	278063.1048449918
32768	x86_64	312458.6770739221
65536	x86_64	397592.21294779325
131072	x86_64	580560.777317615
262144	x86_64	900588.401546934
524288	x86_64	1542382.5198213547
1048576	x86_64	2813925.1895159
32	riscv64	198504.28142244855
64	riscv64	198813.61897208967
128	riscv64	199250.4910168895
256	riscv64	200224.6452100349
512	riscv64	202672.8319901007
1024	riscv64	202169.2419837438
2048	riscv64	204889.18873301725
4096	riscv64	209301.8615905123
8192	riscv64	219439.22687743304
16384	riscv64	237373.192889396
32768	riscv64	272330.14310844213
65536	riscv64	347304.2377931503
131072	riscv64	503136.63482666016
262144	riscv64	776418.5611530312
524288	riscv64	1349517.1460572465
1048576	riscv64	2670645.2570655793
