n	series	time
32	x86_64	232095.9672508551
64	x86_64	225235.54744269577
128	x86_64	225877.87645123524
256	x86_64	227158.28237589108
512	x86_64	229567.85081898162
1024	x86_64	231805.6274840719
2048	x86_64	237546.81241564892
4096	x86_64	239767.3189001661
8192	x86_64	251034.55826529473
16384	x86_64	269680.51348286634
32768	x86_64	312859.7774801708
65536	x86_64	401701.9913949045
131072	x86_64	579645.009105095
262144	x86_64	895203.3665382969
524288	x86_64	1544514.2649037677
1048576	x86_64	2799904.236952675
32	riscv64	197860.41335197492
64	riscv64	198142.43543330193
128	riscv64	198600.17384197694
256	riscv64	199573.0699128137
512	riscv64	201126.5846478189
1024	riscv64	201536.5532661977
2048	riscv64	204609.72440577
4096	riscv64	209148.53508792707
8192	riscv64	218426.5303351392
16384	riscv64	238597.94135800414
32768	riscv64	274602.26969608566
65536	riscv64	346959.52333236707
131072	riscv64	497633.9685891483
262144	riscv64	777716.9015672472
524288	riscv64	1374761.4199720968
1048576	riscv64	2536865.2481963667
