n	series	time
32	GCC	104385813.07729085
64	GCC	207162539.16422525
128	GCC	412483096.1227417
256	GCC	824897527.6947021
512	GCC	1650068283.0810547
1024	GCC	3319824695.587158
2048	GCC	6638570547.103882
4096	GCC	13279000043.869019
8192	GCC	26468943357.46765
16384	GCC	53083447933.19702
32768	GCC	105743871212.00562
32	Clang	102166059.57144307
64	Clang	203332751.66679716
128	Clang	405372278.9994936
256	Clang	810065730.001952
512	Clang	1619366820.9998577
1024	Clang	3234957864.99916
2048	Clang	6463500811.9985285
4096	Clang	12915366223.998716
8192	Clang	25817293481.99951
16384	Clang	51618553637.00306
32768	Clang	103243979053.00066
