n	series	time
32	GCC	582517.6536373147
64	GCC	1046894.1663861093
128	GCC	1978273.4456035376
256	GCC	3837189.8315765047
512	GCC	7563108.983247177
1024	GCC	14995372.041742852
2048	GCC	29854536.056518555
4096	GCC	81155816.71396892
8192	GCC	140447298.68570963
16384	GCC	247943083.4452311
32768	GCC	483107805.2520752
32	Clang	6159428.003672007
64	Clang	12175518.169737699
128	Clang	24621996.38629782
256	Clang	48606923.64828927
512	Clang	97267048.69951521
1024	Clang	191829741.00112915
2048	Clang	383671641.3497925
4096	Clang	781673669.8150635
8192	Clang	1518000364.3035889
16384	Clang	3048618316.6503906
32768	Clang	6139656782.150269
