n	series	time
32	GCC	108228446.83389121
64	GCC	225269122.33418748
128	GCC	447560712.5004899
256	GCC	900314837.9997584
512	GCC	1799566887.9993901
1024	GCC	3599165670.0025487
2048	GCC	6897874865.000631
4096	GCC	14395500735.998213
8192	GCC	27591721418.000816
16384	GCC	55207514759.000336
32768	GCC	110342644223.99792
32	Clang	99888573.85698274
64	Clang	208739279.0005348
128	Clang	413112816.4990514
256	Clang	825304464.0005101
512	Clang	1657119721.0032551
1024	Clang	3222899835.000135
2048	Clang	6181517444.001657
4096	Clang	12996442481.999111
8192	Clang	24632336885.999393
16384	Clang	49195365546.9988
32768	Clang	98815941233.99918
