n	series	time
32	GCC	650388.3696862876
64	GCC	1258016.675044216
128	GCC	2474559.7703152625
256	GCC	4884338.020980016
512	GCC	9702117.13886076
1024	GCC	19387057.83332908
2048	GCC	38578737.83332858
4096	GCC	77074217.88897288
8192	GCC	153548158.19955546
16384	GCC	308096910.99966586
32768	GCC	634800191.9977833
32	Clang	7345555.318186764
64	Clang	14326648.489834636
128	Clang	28045593.480055686
256	Clang	55544267.53839764
512	Clang	110372119.50012231
1024	Clang	220017868.3330402
2048	Clang	439620555.00014687
4096	Clang	877526256.001147
8192	Clang	1733087918.0008197
16384	Clang	3462345021.0019655
32768	Clang	6949170035.000861
