n	series	time
32	GCC	10133.162886098726
64	GCC	17805.265478762885
128	GCC	32654.82959357769
256	GCC	63218.45749350398
512	GCC	122831.0331322835
1024	GCC	241955.51995957282
2048	GCC	480547.78256805777
4096	GCC	956988.0740890086
8192	GCC	1912138.5011516633
16384	GCC	3819813.493822442
32768	GCC	7636277.57196841
65536	GCC	15257679.897805918
131072	GCC	30528327.693109926
262144	GCC	61015432.531183414
524288	GCC	122079292.93314616
1048576	GCC	256097555.16052246
32	Clang	6021.557909159868
64	Clang	9670.230581923477
128	Clang	16464.613369987957
256	Clang	30762.512361228153
512	Clang	58226.28860486329
1024	Clang	112683.76152296572
2048	Clang	221776.6600063221
4096	Clang	440320.77693459974
8192	Clang	878262.6393444855
16384	Clang	1757484.584597487
32768	Clang	3521703.595492109
65536	Clang	7024650.573730469
131072	Clang	14030508.995056152
262144	Clang	27975769.04296875
524288	Clang	55620413.56013371
1048576	Clang	123008926.709493
