n	series	time
32	GCC	10070.940756781993
64	GCC	17807.480336024357
128	GCC	32816.34044138757
256	GCC	63637.55053226725
512	GCC	123879.19757392611
1024	GCC	244311.9184317007
2048	GCC	483111.4442290732
4096	GCC	961184.9935707396
8192	GCC	1921865.3848726456
16384	GCC	3851878.774035108
32768	GCC	7668476.838331956
65536	GCC	15314812.245576277
131072	GCC	30650729.718415633
262144	GCC	61187375.6755482
524288	GCC	122433861.09670003
1048576	GCC	257016181.94580078
32	Clang	6075.111529553259
64	Clang	9845.678638393181
128	Clang	16760.35768368919
256	Clang	31273.642618293343
512	Clang	59019.66416886084
1024	Clang	114666.41635307706
2048	Clang	225844.73109383826
4096	Clang	448440.2988294544
8192	Clang	897421.2866563064
16384	Clang	1788798.500509823
32768	Clang	3587200.702765049
65536	Clang	7165388.18515077
131072	Clang	14285335.735398896
262144	Clang	28519287.109375
524288	Clang	57020147.64149984
1048576	Clang	125430186.58955891
