n	series	time
32	GCC	4367.978621599682
64	GCC	7923.126086867285
128	GCC	14725.994254918067
256	GCC	28934.150748345204
512	GCC	56282.08960033397
1024	GCC	110896.72779114859
2048	GCC	220211.6453743592
4096	GCC	439454.6762857432
8192	GCC	877819.9473015951
16384	GCC	1753053.5313239954
32768	GCC	3504652.9449937223
65536	GCC	7014763.75998027
131072	GCC	14032434.880064102
262144	GCC	28111043.84003556
524288	GCC	56636037.250124596
1048576	GCC	123266788.66702424
32	Clang	5081.128050479179
64	Clang	9288.505521212031
128	Clang	17516.471909583022
256	Clang	34343.628047268765
512	Clang	66875.27560178503
1024	Clang	131986.1949110019
2048	Clang	262347.85425254935
4096	Clang	522928.4040332479
8192	Clang	1045735.6158456547
16384	Clang	2094585.5568913
32768	Clang	4181836.550900382
65536	Clang	8344438.428572348
131072	Clang	16681633.547618514
262144	Clang	35075538.28569057
524288	Clang	68226654.30008784
1048576	Clang	146420624.4003435
