n	series	time
32	GCC	4431.4659410126105
64	GCC	8044.021529435902
128	GCC	14921.17753488738
256	GCC	29231.857763642518
512	GCC	56790.98791149695
1024	GCC	111861.3659904458
2048	GCC	221759.03581626154
4096	GCC	441621.6561516228
8192	GCC	882479.1878970953
16384	GCC	1765315.4130998391
32768	GCC	3527718.494940082
65536	GCC	7059007.676772778
131072	GCC	14114756.795903787
262144	GCC	28286787.960096262
524288	GCC	56967420.66659984
1048576	GCC	123830330.50051987
32	Clang	5126.894009667992
64	Clang	9411.40634912266
128	Clang	17631.065031424245
256	Clang	34696.2092930316
512	Clang	67706.72375410014
1024	Clang	133787.78631517987
2048	Clang	266245.7732982838
4096	Clang	530024.8089459203
8192	Clang	1059603.1075802979
16384	Clang	2118227.3413914395
32768	Clang	4230581.751515715
65536	Clang	8456020.542183409
131072	Clang	16902803.146388955
262144	Clang	33863035.5715092
524288	Clang	68114441.1999412
1048576	Clang	146260282.00000292
