n	series	time
32	GCC	198504.28142244855
64	GCC	198813.61897208967
128	GCC	199250.4910168895
256	GCC	200224.6452100349
512	GCC	202672.8319901007
1024	GCC	202169.2419837438
2048	GCC	204889.18873301725
4096	GCC	209301.8615905123
8192	GCC	219439.22687743304
16384	GCC	237373.192889396
32768	GCC	272330.14310844213
65536	GCC	347304.2377931503
131072	GCC	503136.63482666016
262144	GCC	776418.5611530312
524288	GCC	1349517.1460572465
1048576	GCC	2670645.2570655793
32	Clang	200147.76237492156
64	Clang	200336.77237062503
128	Clang	200935.1956994881
256	Clang	201991.63110654362
512	Clang	203804.0061155307
1024	Clang	203937.89109703127
2048	Clang	206757.64830461104
4096	Clang	211122.09637576336
8192	Clang	220131.2216020448
16384	Clang	238590.5132352149
32768	Clang	273240.1616307183
65536	Clang	342561.5407716038
131072	Clang	477033.6463163723
262144	Clang	837954.7621431724
524288	Clang	1369826.9613087177
1048576	Clang	2541666.9007894155
