n	series	time
32	GCC	197860.41335197492
64	GCC	198142.43543330193
128	GCC	198600.17384197694
256	GCC	199573.0699128137
512	GCC	201126.5846478189
1024	GCC	201536.5532661977
2048	GCC	204609.72440577
4096	GCC	209148.53508792707
8192	GCC	218426.5303351392
16384	GCC	238597.94135800414
32768	GCC	274602.26969608566
65536	GCC	346959.52333236707
131072	GCC	497633.9685891483
262144	GCC	777716.9015672472
524288	GCC	1374761.4199720968
1048576	GCC	2536865.2481963667
32	Clang	200212.63244733628
64	Clang	200628.61948095282
128	Clang	201068.89132040113
256	Clang	202429.7044649871
512	Clang	205281.8225625673
1024	Clang	205431.96025883057
2048	Clang	208362.66217523924
4096	Clang	213023.04973932847
8192	Clang	222157.20740918803
16384	Clang	239468.7116003639
32768	Clang	275221.66976298677
65536	Clang	354509.3536376953
131072	Clang	503295.8984375
262144	Clang	744732.8973323741
524288	Clang	1283850.8011004247
1048576	Clang	2505251.1563865086
