n	series	time
32	GCC	227264.28599156893
64	GCC	228209.82431593025
128	GCC	229419.0963930603
256	GCC	231185.24843282186
512	GCC	233993.7985295592
1024	GCC	238513.77709613807
2048	GCC	245120.34978972163
4096	GCC	253057.40859817425
8192	GCC	264889.7612558761
16384	GCC	278063.1048449918
32768	GCC	312458.6770739221
65536	GCC	397592.21294779325
131072	GCC	580560.777317615
262144	GCC	900588.401546934
524288	GCC	1542382.5198213547
1048576	GCC	2813925.1895159
32	Clang	219295.06946183578
64	Clang	217829.9670298399
128	Clang	218412.72769775408
256	Clang	219346.01411181942
512	Clang	221766.62175765372
1024	Clang	223411.36706862866
2048	Clang	227445.0665789227
4096	Clang	233097.84961628573
8192	Clang	244602.9302163162
16384	Clang	267789.5517372555
32768	Clang	315784.93143987295
65536	Clang	420151.9075065659
131072	Clang	587939.3159642966
262144	Clang	927115.0621706122
524288	Clang	1612574.085249879
1048576	Clang	2993070.3390613017
