n	series	time
32	GCC	232095.9672508551
64	GCC	225235.54744269577
128	GCC	225877.87645123524
256	GCC	227158.28237589108
512	GCC	229567.85081898162
1024	GCC	231805.6274840719
2048	GCC	237546.81241564892
4096	GCC	239767.3189001661
8192	GCC	251034.55826529473
16384	GCC	269680.51348286634
32768	GCC	312859.7774801708
65536	GCC	401701.9913949045
131072	GCC	579645.009105095
262144	GCC	895203.3665382969
524288	GCC	1544514.2649037677
1048576	GCC	2799904.236952675
32	Clang	218180.60623017658
64	Clang	218493.2249613279
128	Clang	219047.4463563164
256	Clang	220217.88207545204
512	Clang	221911.43771772797
1024	Clang	225626.05736405315
2048	Clang	225603.88692065468
4096	Clang	231614.42243674802
8192	Clang	242908.74878527757
16384	Clang	267030.7663377662
32768	Clang	311775.7983086947
65536	Clang	403785.7514431233
131072	Clang	588242.7884143549
262144	Clang	933174.6866664616
524288	Clang	1617093.3456211763
1048576	Clang	2987651.397443887
