n	type	time
32	Classic	31384.90635575719
64	Classic	54640.41855569883
128	Classic	97996.1180918281
256	Classic	193235.3669249867
512	Classic	370752.9973514854
1024	Classic	745646.5835100911
2048	Classic	1487716.929935786
4096	Classic	2965774.317799206
8192	Classic	5972994.939650656
16384	Classic	11925729.254240435
32768	Classic	23798514.86204706
65536	Classic	46970815.26658925
131072	Classic	95401177.42861703
262144	Classic	190800866.49955773
524288	Classic	363627517.00107765
1048576	Classic	721610680.0005946
32	Cardinal{0.1}	34145.001170204385
64	Cardinal{0.1}	59867.8661819379
128	Cardinal{0.1}	107911.55095721074
256	Cardinal{0.1}	208736.91467761897
512	Cardinal{0.1}	401164.2040104744
1024	Cardinal{0.1}	808633.5292155332
2048	Cardinal{0.1}	1659118.1205680547
4096	Cardinal{0.1}	3301118.3820733246
8192	Cardinal{0.1}	6574750.14153499
16384	Cardinal{0.1}	13125321.000017103
32768	Cardinal{0.1}	26209650.25926125
65536	Cardinal{0.1}	52436878.61534104
131072	Cardinal{0.1}	104531954.85700105
262144	Cardinal{0.1}	209138625.33294985
524288	Cardinal{0.1}	423885627.99897045
1048576	Cardinal{0.1}	855264359.0010121
32	Akima	41841.909188727645
64	Akima	73144.22550979735
128	Akima	132700.5659842117
256	Akima	258817.73569453895
512	Akima	497727.22940391843
1024	Akima	975528.0153415342
2048	Akima	1931731.4585632076
4096	Akima	3841944.1648379634
8192	Akima	7662140.670308273
16384	Akima	15298845.630399149
32768	Akima	30536369.521660555
65536	Akima	61086376.45460972
131072	Akima	122469271.83332445
262144	Akima	246086376.6670324
524288	Akima	490859206.0000956
1048576	Akima	979883274.0016223
32	ModifiedAkima	43379.05564161318
64	ModifiedAkima	76324.30845722575
128	ModifiedAkima	138664.11681856576
256	ModifiedAkima	269355.4086895492
512	ModifiedAkima	518773.1869432827
1024	ModifiedAkima	1019644.8323603583
2048	ModifiedAkima	2019151.1820816377
4096	ModifiedAkima	4015018.7356295814
8192	ModifiedAkima	8008897.494253417
16384	ModifiedAkima	15986931.113647271
32768	ModifiedAkima	31917778.909039702
65536	ModifiedAkima	63969159.81829145
131072	ModifiedAkima	128063074.00023797
262144	ModifiedAkima	256060048.99964318
524288	ModifiedAkima	518020506.99916434
1048576	ModifiedAkima	1040072468.0002896
32	Steffen	54218.93210215976
64	Steffen	97755.41037450919
128	Steffen	180911.40942002166
256	Steffen	356401.7554652751
512	Steffen	690848.3306922266
1024	Steffen	1364086.7056527387
2048	Steffen	2710845.9418614497
4096	Steffen	5384674.376937956
8192	Steffen	10795188.276936712
16384	Steffen	21564929.545451324
32768	Steffen	42864816.187602624
65536	Steffen	86249815.25008479
131072	Steffen	172104952.99968898
262144	Steffen	346771599.4993341
524288	Steffen	697523483.9992481
1048576	Steffen	1404054390.000965
