n	type	time
32	Classic	4270.485073296719
64	Classic	6628.976745125451
128	Classic	10896.38237337167
256	Classic	19948.917341853194
512	Classic	37047.08577135933
1024	Classic	70909.02478303229
2048	Classic	138949.25020024474
4096	Classic	282614.35152304295
8192	Classic	629552.0909512826
16384	Classic	1250329.1879381451
32768	Classic	2487703.418055325
65536	Classic	4957352.969663363
131072	Classic	9925954.682486398
262144	Classic	19994653.974260602
524288	Classic	40594479.61695054
1048576	Classic	81764072.17979431
32	Cardinal{0.1}	4465.9504628140885
64	Cardinal{0.1}	7056.347649603971
128	Cardinal{0.1}	11686.18270006225
256	Cardinal{0.1}	21560.29407674942
512	Cardinal{0.1}	40250.11127318845
1024	Cardinal{0.1}	77373.30539487697
2048	Cardinal{0.1}	151693.3945598557
4096	Cardinal{0.1}	300400.1476692059
8192	Cardinal{0.1}	599934.0802660944
16384	Cardinal{0.1}	1202348.639203616
32768	Cardinal{0.1}	2402033.70786693
65536	Cardinal{0.1}	4788170.122120478
131072	Cardinal{0.1}	9564556.487619061
262144	Cardinal{0.1}	19118702.089464344
524288	Cardinal{0.1}	38328912.52305773
1048576	Cardinal{0.1}	88460624.21798706
32	Akima	6021.557909159868
64	Akima	9670.230581923477
128	Akima	16464.613369987957
256	Akima	30762.512361228153
512	Akima	58226.28860486329
1024	Akima	112683.76152296572
2048	Akima	221776.6600063221
4096	Akima	440320.77693459974
8192	Akima	878262.6393444855
16384	Akima	1757484.584597487
32768	Akima	3521703.595492109
65536	Akima	7024650.573730469
131072	Akima	14030508.995056152
262144	Akima	27975769.04296875
524288	Akima	55620413.56013371
1048576	Akima	123008926.709493
32	ModifiedAkima	6061.2394898163675
64	ModifiedAkima	9810.526831530375
128	ModifiedAkima	16861.461116596416
256	ModifiedAkima	31621.44839419106
512	ModifiedAkima	59922.502213653774
1024	ModifiedAkima	116224.39019317729
2048	ModifiedAkima	228888.4586758084
4096	ModifiedAkima	453749.030577387
8192	ModifiedAkima	905740.1531263897
16384	ModifiedAkima	1814633.4534482018
32768	ModifiedAkima	3634859.2432051743
65536	ModifiedAkima	7228040.20360573
131072	ModifiedAkima	14433215.061823526
262144	ModifiedAkima	28974900.643030804
524288	ModifiedAkima	57862500.34968058
1048576	ModifiedAkima	127540469.1696167
32	Steffen	6319.384485763707
64	Steffen	10705.309253740701
128	Steffen	18938.352588811114
256	Steffen	35962.326194790614
512	Steffen	68904.96341518022
1024	Steffen	134461.39355229627
2048	Steffen	265797.52236310515
4096	Steffen	529309.9229332189
8192	Steffen	1051660.0565867382
16384	Steffen	2104026.7772502727
32768	Steffen	4200302.912089639
65536	Steffen	8389435.618756765
131072	Steffen	16769386.473156158
262144	Steffen	33511888.413202196
524288	Steffen	67027115.82183838
1048576	Steffen	145677900.31433105
