n	type	time
32	Classic	8709.208616686383
64	Classic	14840.760942098133
128	Classic	26885.083655956874
256	Classic	51810.11924811449
512	Classic	100084.06059254221
1024	Classic	196487.48939036654
2048	Classic	389853.2725123892
4096	Classic	782986.103754161
8192	Classic	1624198.6347738386
16384	Classic	3240135.104157204
32768	Classic	6330958.279696378
65536	Classic	12353654.418672834
131072	Classic	24687562.670026507
262144	Classic	50017815.36982609
524288	Classic	101030520.03043039
1048576	Classic	204993089.04012045
32	Cardinal{0.1}	8983.898820075543
64	Cardinal{0.1}	15708.176308169077
128	Cardinal{0.1}	28711.796980397048
256	Cardinal{0.1}	55428.97573552683
512	Cardinal{0.1}	107369.62552633109
1024	Cardinal{0.1}	211090.86474561534
2048	Cardinal{0.1}	418765.69318999513
4096	Cardinal{0.1}	833979.0962592069
8192	Cardinal{0.1}	1664414.8599533807
16384	Cardinal{0.1}	3329490.479968843
32768	Cardinal{0.1}	6645395.642235165
65536	Cardinal{0.1}	13329212.482158955
131072	Cardinal{0.1}	26655747.34027569
262144	Cardinal{0.1}	53365927.476149336
524288	Cardinal{0.1}	109723295.48427036
1048576	Cardinal{0.1}	225845416.3869222
32	Akima	10133.162886098726
64	Akima	17805.265478762885
128	Akima	32654.82959357769
256	Akima	63218.45749350398
512	Akima	122831.0331322835
1024	Akima	241955.51995957282
2048	Akima	480547.78256805777
4096	Akima	956988.0740890086
8192	Akima	1912138.5011516633
16384	Akima	3819813.493822442
32768	Akima	7636277.57196841
65536	Akima	15257679.897805918
131072	Akima	30528327.693109926
262144	Akima	61015432.531183414
524288	Akima	122079292.93314616
1048576	Akima	256097555.16052246
32	ModifiedAkima	10735.017782952467
64	ModifiedAkima	19051.714571650158
128	ModifiedAkima	35169.20210757771
256	ModifiedAkima	68242.98528545992
512	ModifiedAkima	132830.08733932851
1024	ModifiedAkima	262094.44487714785
2048	ModifiedAkima	520592.81279746705
4096	ModifiedAkima	1038623.0327464916
8192	ModifiedAkima	2074101.2674816968
16384	ModifiedAkima	4144557.1289965385
32768	ModifiedAkima	8280765.309053309
65536	ModifiedAkima	16548883.347284226
131072	ModifiedAkima	33090353.01208496
262144	ModifiedAkima	66172838.21105957
524288	ModifiedAkima	132204246.5209961
1048576	ModifiedAkima	276588678.35998535
32	Steffen	11739.423662317653
64	Steffen	21058.196165151876
128	Steffen	39179.0212931914
256	Steffen	76267.50342193182
512	Steffen	148955.3433272351
1024	Steffen	294522.07709560875
2048	Steffen	585260.1518192051
4096	Steffen	1167449.156443278
8192	Steffen	2333302.4978637695
16384	Steffen	4667088.190714519
32768	Steffen	9329652.786254883
65536	Steffen	18643711.742601898
131072	Steffen	37296935.13167532
262144	Steffen	74597597.12219238
524288	Steffen	149212121.96350098
1048576	Steffen	310246944.42749023
