n	type	time
32	Classic	8704.035372915387
64	Classic	14884.028470032636
128	Classic	26972.769441306176
256	Classic	51879.70932704743
512	Classic	100169.56069935366
1024	Classic	196820.53605391466
2048	Classic	389868.00773637596
4096	Classic	784333.9750929981
8192	Classic	1630574.6034134266
16384	Classic	3176589.896776018
32768	Classic	6327245.452187278
65536	Classic	12240805.796214512
131072	Classic	24488525.73122297
262144	Classic	49760873.501117416
524288	Classic	100001777.92140415
1048576	Classic	204368750.25431314
32	Cardinal{0.1}	8954.880887650144
64	Cardinal{0.1}	15665.875397242486
128	Cardinal{0.1}	28677.698164412384
256	Cardinal{0.1}	55438.354239546534
512	Cardinal{0.1}	107135.10976197654
1024	Cardinal{0.1}	211083.00517739265
2048	Cardinal{0.1}	417509.3636583926
4096	Cardinal{0.1}	831854.8962278967
8192	Cardinal{0.1}	1661409.6989563857
16384	Cardinal{0.1}	3317465.714368775
32768	Cardinal{0.1}	6622449.407037699
65536	Cardinal{0.1}	13246023.430014556
131072	Cardinal{0.1}	26542370.13596755
262144	Cardinal{0.1}	53050499.69599797
524288	Cardinal{0.1}	109218972.06987654
1048576	Cardinal{0.1}	223953326.5431722
32	Akima	10070.940756781993
64	Akima	17807.480336024357
128	Akima	32816.34044138757
256	Akima	63637.55053226725
512	Akima	123879.19757392611
1024	Akima	244311.9184317007
2048	Akima	483111.4442290732
4096	Akima	961184.9935707396
8192	Akima	1921865.3848726456
16384	Akima	3851878.774035108
32768	Akima	7668476.838331956
65536	Akima	15314812.245576277
131072	Akima	30650729.718415633
262144	Akima	61187375.6755482
524288	Akima	122433861.09670003
1048576	Akima	257016181.94580078
32	ModifiedAkima	10654.129688037046
64	ModifiedAkima	18992.52424260314
128	ModifiedAkima	35271.453876637555
256	ModifiedAkima	68783.93549897142
512	ModifiedAkima	133424.65477428216
1024	ModifiedAkima	264459.1661142681
2048	ModifiedAkima	525373.2383430183
4096	ModifiedAkima	1047573.0467699245
8192	ModifiedAkima	2080400.0752312797
16384	ModifiedAkima	4167957.418769069
32768	ModifiedAkima	8339941.501617432
65536	ModifiedAkima	16653475.307282947
131072	ModifiedAkima	33315000.07992699
262144	ModifiedAkima	66633527.92913263
524288	ModifiedAkima	133292293.54858398
1048576	ModifiedAkima	278506517.4102783
32	Steffen	11670.542667054808
64	Steffen	20978.774447470292
128	Steffen	39076.04780710193
256	Steffen	76073.2948100159
512	Steffen	148565.25959859366
1024	Steffen	294297.2590917314
2048	Steffen	583151.8931368904
4096	Steffen	1163057.7969670098
8192	Steffen	2330388.7376753595
16384	Steffen	4643615.507921636
32768	Steffen	9289735.158284506
65536	Steffen	18567750.32846551
131072	Steffen	37035640.91732627
262144	Steffen	76040532.85386828
524288	Steffen	148127269.74487305
1048576	Steffen	307885766.0293579
