n	type	time
32	Classic	3254.5153453376643
64	Classic	5696.580709531108
128	Classic	10422.978270561996
256	Classic	20343.064361516383
512	Classic	39084.405103632576
1024	Classic	76562.53527287356
2048	Classic	151690.6894239468
4096	Classic	301732.87500004115
8192	Classic	602295.8605860653
16384	Classic	1341346.3180085311
32768	Classic	2679337.4827704113
65536	Classic	5358077.307671639
131072	Classic	10792099.061542941
262144	Classic	21581050.21874235
524288	Classic	43754640.43732791
1048576	Classic	88291122.1251561
32	Cardinal{0.1}	3586.598122666642
64	Cardinal{0.1}	6405.606207859558
128	Cardinal{0.1}	11852.7997833497
256	Cardinal{0.1}	23128.296306115673
512	Cardinal{0.1}	44556.887170810885
1024	Cardinal{0.1}	87427.61189573638
2048	Cardinal{0.1}	173299.689280002
4096	Cardinal{0.1}	344714.487444682
8192	Cardinal{0.1}	688787.3905348714
16384	Cardinal{0.1}	1376388.9744119856
32768	Cardinal{0.1}	2753239.0866140556
65536	Cardinal{0.1}	5497428.77164257
131072	Cardinal{0.1}	10984540.390609255
262144	Cardinal{0.1}	22020790.437522918
524288	Cardinal{0.1}	44498526.06239802
1048576	Cardinal{0.1}	99006940.71412934
32	Akima	4446.133024514666
64	Akima	8035.680986061403
128	Akima	14974.46956281207
256	Akima	28926.77188309555
512	Akima	55679.28488446555
1024	Akima	109582.35754569717
2048	Akima	217520.69919194153
4096	Akima	433135.64975226717
8192	Akima	865403.5197993142
16384	Akima	1731688.8886150739
32768	Akima	3458841.2722814158
65536	Akima	6925360.504958529
131072	Akima	13832759.000069927
262144	Akima	27705041.320004962
524288	Akima	55919941.461559996
1048576	Akima	121661118.33357717
32	ModifiedAkima	5081.128050479179
64	ModifiedAkima	9288.505521212031
128	ModifiedAkima	17516.471909583022
256	ModifiedAkima	34343.628047268765
512	ModifiedAkima	66875.27560178503
1024	ModifiedAkima	131986.1949110019
2048	ModifiedAkima	262347.85425254935
4096	ModifiedAkima	522928.4040332479
8192	ModifiedAkima	1045735.6158456547
16384	ModifiedAkima	2094585.5568913
32768	ModifiedAkima	4181836.550900382
65536	ModifiedAkima	8344438.428572348
131072	ModifiedAkima	16681633.547618514
262144	ModifiedAkima	35075538.28569057
524288	ModifiedAkima	68226654.30008784
1048576	ModifiedAkima	146420624.4003435
32	Steffen	4497.975559953263
64	Steffen	8154.876031513777
128	Steffen	15265.691404816394
256	Steffen	29743.17436478
512	Steffen	56972.55041022867
1024	Steffen	112196.3972758376
2048	Steffen	222840.2750406878
4096	Steffen	443874.59035966656
8192	Steffen	886895.6666667217
16384	Steffen	1772604.9974704336
32768	Steffen	3545452.1218391885
65536	Steffen	7089815.214292648
131072	Steffen	14186885.285699664
262144	Steffen	28427959.280088544
524288	Steffen	57307467.00010058
1048576	Steffen	124671507.83292407
