n	type	time
32	Classic	3249.269429070437
64	Classic	5715.055759319673
128	Classic	10441.03439066801
256	Classic	20334.425670976438
512	Classic	39073.94909857998
1024	Classic	76628.58296769291
2048	Classic	151729.22523315623
4096	Classic	308704.77591598267
8192	Classic	672317.8828051931
16384	Classic	1339149.430207919
32768	Classic	2672805.6221332834
65536	Classic	5354775.676935857
131072	Classic	10700305.400006562
262144	Classic	21572829.156298213
524288	Classic	43831319.06251947
1048576	Classic	88386932.25015959
32	Cardinal{0.1}	3573.7734429165266
64	Cardinal{0.1}	6402.961083313175
128	Cardinal{0.1}	11724.189438466205
256	Cardinal{0.1}	22990.451349236762
512	Cardinal{0.1}	44392.804236128126
1024	Cardinal{0.1}	87276.64356928194
2048	Cardinal{0.1}	173070.42062303462
4096	Cardinal{0.1}	344493.4099418136
8192	Cardinal{0.1}	688503.8602362558
16384	Cardinal{0.1}	1375871.2514792616
32768	Cardinal{0.1}	2751758.7598516354
65536	Cardinal{0.1}	5496752.913382434
131072	Cardinal{0.1}	10986656.285702279
262144	Cardinal{0.1}	22032941.437487353
524288	Cardinal{0.1}	44468955.93764566
1048576	Cardinal{0.1}	99053052.42864415
32	Akima	4422.856617688377
64	Akima	8002.265572475911
128	Akima	14840.72495921253
256	Akima	29113.157319190756
512	Akima	56561.64727288985
1024	Akima	111469.60888239631
2048	Akima	221559.40284818236
4096	Akima	440661.5242281909
8192	Akima	879947.2402557203
16384	Akima	1760261.9622225265
32768	Akima	3517656.8442273205
65536	Akima	7027750.888877874
131072	Akima	14051663.299978826
262144	Akima	28152639.479958452
524288	Akima	56750508.23097431
1048576	Akima	123329608.83334939
32	ModifiedAkima	5126.894009667992
64	ModifiedAkima	9411.40634912266
128	ModifiedAkima	17631.065031424245
256	ModifiedAkima	34696.2092930316
512	ModifiedAkima	67706.72375410014
1024	ModifiedAkima	133787.78631517987
2048	ModifiedAkima	266245.7732982838
4096	ModifiedAkima	530024.8089459203
8192	ModifiedAkima	1059603.1075802979
16384	ModifiedAkima	2118227.3413914395
32768	ModifiedAkima	4230581.751515715
65536	ModifiedAkima	8456020.542183409
131072	ModifiedAkima	16902803.146388955
262144	ModifiedAkima	33863035.5715092
524288	ModifiedAkima	68114441.1999412
1048576	ModifiedAkima	146260282.00000292
32	Steffen	4498.586199150144
64	Steffen	8163.129745632395
128	Steffen	15165.622972473691
256	Steffen	29711.146741788933
512	Steffen	57748.24779401287
1024	Steffen	113882.80455669918
2048	Steffen	226132.55085491738
4096	Steffen	450125.85337571736
8192	Steffen	899008.2969129428
16384	Steffen	1798211.2699276425
32768	Steffen	3587334.738459993
65536	Steffen	7078685.717164207
131072	Steffen	14164198.102068385
262144	Steffen	28398227.12005116
524288	Steffen	57771927.58311382
1048576	Steffen	126036531.66661388
