n	type	time
32	Classic	3055.900898953985
64	Classic	5552.999206233948
128	Classic	10256.59412600708
256	Classic	20205.232756236546
512	Classic	39074.61738110211
1024	Classic	76702.10552279672
2048	Classic	151985.8838225794
4096	Classic	309233.161731861
8192	Classic	675323.6425112301
16384	Classic	1347143.1346190982
32768	Classic	2685827.22605186
65536	Classic	5385676.612414225
131072	Classic	10756144.246149164
262144	Classic	21687367.09370478
524288	Classic	43980699.8124368
1048576	Classic	88579163.37501593
32	Cardinal{0.1}	3354.3549175884796
64	Cardinal{0.1}	6074.272816249315
128	Cardinal{0.1}	11186.903898174169
256	Cardinal{0.1}	21994.690417751048
512	Cardinal{0.1}	42546.66407441281
1024	Cardinal{0.1}	83515.23902682726
2048	Cardinal{0.1}	165560.79588445567
4096	Cardinal{0.1}	329874.6248822301
8192	Cardinal{0.1}	659236.8491998318
16384	Cardinal{0.1}	1318376.446324486
32768	Cardinal{0.1}	2636991.2452794793
65536	Cardinal{0.1}	5276753.734864487
131072	Cardinal{0.1}	10556617.590874808
262144	Cardinal{0.1}	21155217.939381007
524288	Cardinal{0.1}	42657468.50001051
1048576	Cardinal{0.1}	95411870.5714271
32	Akima	4168.993061176846
64	Akima	7736.4328432467755
128	Akima	14564.166112241774
256	Akima	28827.81151665317
512	Akima	56276.23524189774
1024	Akima	111069.4203677164
2048	Akima	220690.5067805579
4096	Akima	440333.27924481913
8192	Akima	879566.1748435976
16384	Akima	1760019.449748645
32768	Akima	3515314.8593012495
65536	Akima	7028020.191912697
131072	Akima	14050182.360006146
262144	Akima	28155413.12011192
524288	Akima	56695116.69223608
1048576	Akima	123474848.83321159
32	ModifiedAkima	4367.978621599682
64	ModifiedAkima	7923.126086867285
128	ModifiedAkima	14725.994254918067
256	ModifiedAkima	28934.150748345204
512	ModifiedAkima	56282.08960033397
1024	ModifiedAkima	110896.72779114859
2048	ModifiedAkima	220211.6453743592
4096	ModifiedAkima	439454.6762857432
8192	ModifiedAkima	877819.9473015951
16384	ModifiedAkima	1753053.5313239954
32768	ModifiedAkima	3504652.9449937223
65536	ModifiedAkima	7014763.75998027
131072	ModifiedAkima	14032434.880064102
262144	ModifiedAkima	28111043.84003556
524288	ModifiedAkima	56636037.250124596
1048576	ModifiedAkima	123266788.66702424
32	Steffen	4378.0170195905885
64	Steffen	8129.528476167368
128	Steffen	15320.473273931315
256	Steffen	30302.42213661761
512	Steffen	59155.691508088166
1024	Steffen	116789.56754532254
2048	Steffen	232174.2252072367
4096	Steffen	463087.795499835
8192	Steffen	925244.8293669398
16384	Steffen	1851316.5820093094
32768	Steffen	3700026.613760249
65536	Steffen	7405399.574441191
131072	Steffen	14801023.021294547
262144	Steffen	29646692.666725963
524288	Steffen	59715068.66656759
1048576	Steffen	129431788.80013874
