n	type	time
32	Classic	3138.467612216355
64	Classic	5640.764745692416
128	Classic	10445.582540237421
256	Classic	20479.218555268802
512	Classic	39504.942716826976
1024	Classic	77515.17718746356
2048	Classic	153367.01095748242
4096	Classic	311761.57766021526
8192	Classic	678780.9058259529
16384	Classic	1353569.8626741653
32768	Classic	2698821.976826851
65536	Classic	5418173.398453519
131072	Classic	10816703.296882223
262144	Classic	21653120.49999102
524288	Classic	43643317.68738338
1048576	Classic	87932057.62503931
32	Cardinal{0.1}	3381.409926980167
64	Cardinal{0.1}	6098.3443317067195
128	Cardinal{0.1}	11140.628441395938
256	Cardinal{0.1}	21779.484965303327
512	Cardinal{0.1}	41986.55209647543
1024	Cardinal{0.1}	82369.4984706783
2048	Cardinal{0.1}	163053.72077317315
4096	Cardinal{0.1}	324421.5041698321
8192	Cardinal{0.1}	647864.0148269967
16384	Cardinal{0.1}	1306591.5167887276
32768	Cardinal{0.1}	2592854.981479899
65536	Cardinal{0.1}	5182656.1790873185
131072	Cardinal{0.1}	10368382.014918884
262144	Cardinal{0.1}	21214889.699937582
524288	Cardinal{0.1}	42502856.93751721
1048576	Cardinal{0.1}	95094356.57154037
32	Akima	4210.708181855227
64	Akima	7831.620908030413
128	Akima	14714.64710588067
256	Akima	29030.89487208617
512	Akima	56659.32168264963
1024	Akima	111771.68880742117
2048	Akima	221983.8163062857
4096	Akima	442253.84659062047
8192	Akima	882824.6343033762
16384	Akima	1765532.4747484159
32768	Akima	3528210.368673135
65536	Akima	7043975.94951172
131072	Akima	14087751.359984396
262144	Akima	28251954.95999651
524288	Akima	56959726.92326625
1048576	Akima	123787357.5003808
32	ModifiedAkima	4431.4659410126105
64	ModifiedAkima	8044.021529435902
128	ModifiedAkima	14921.17753488738
256	ModifiedAkima	29231.857763642518
512	ModifiedAkima	56790.98791149695
1024	ModifiedAkima	111861.3659904458
2048	ModifiedAkima	221759.03581626154
4096	ModifiedAkima	441621.6561516228
8192	ModifiedAkima	882479.1878970953
16384	ModifiedAkima	1765315.4130998391
32768	ModifiedAkima	3527718.494940082
65536	ModifiedAkima	7059007.676772778
131072	ModifiedAkima	14114756.795903787
262144	ModifiedAkima	28286787.960096262
524288	ModifiedAkima	56967420.66659984
1048576	ModifiedAkima	123830330.50051987
32	Steffen	4443.44811167713
64	Steffen	8298.200846354812
128	Steffen	15550.759760881641
256	Steffen	30629.76970521619
512	Steffen	59708.05377514613
1024	Steffen	117742.61284870001
2048	Steffen	233772.4629001667
4096	Steffen	465706.29027787445
8192	Steffen	930073.5731416197
16384	Steffen	1861066.5053161706
32768	Steffen	3718043.930851483
65536	Steffen	7443773.44682939
131072	Steffen	14879364.148927901
262144	Steffen	29825311.956538707
524288	Steffen	60093396.16654567
1048576	Steffen	130171898.79974468
