n	series	time
32	O0	102166059.57144307
64	O0	203332751.66679716
128	O0	405372278.9994936
256	O0	810065730.001952
512	O0	1619366820.9998577
1024	O0	3234957864.99916
2048	O0	6463500811.9985285
4096	O0	12915366223.998716
8192	O0	25817293481.99951
16384	O0	51618553637.00306
32768	O0	103243979053.00066
32	O3	6116839.3918446135
64	O3	12403850.044522967
128	O3	25112424.57798549
256	O3	50011822.15554374
512	O3	102477959.22415598
1024	O3	202994108.20007324
2048	O3	402127385.13946533
4096	O3	804183244.7052002
8192	O3	1517823457.7178955
16384	O3	3128655910.4919434
32768	O3	6079336881.637573
32	O3-openmp	6159428.003672007
64	O3-openmp	12175518.169737699
128	O3-openmp	24621996.38629782
256	O3-openmp	48606923.64828927
512	O3-openmp	97267048.69951521
1024	O3-openmp	191829741.00112915
2048	O3-openmp	383671641.3497925
4096	O3-openmp	781673669.8150635
8192	O3-openmp	1518000364.3035889
16384	O3-openmp	3048618316.6503906
32768	O3-openmp	6139656782.150269
