n	series	time
32	O0	104385813.07729085
64	O0	207162539.16422525
128	O0	412483096.1227417
256	O0	824897527.6947021
512	O0	1650068283.0810547
1024	O0	3319824695.587158
2048	O0	6638570547.103882
4096	O0	13279000043.869019
8192	O0	26468943357.46765
16384	O0	53083447933.19702
32768	O0	105743871212.00562
32	O3	6021769.423233835
64	O3	12077989.249393858
128	O3	23874011.533013705
256	O3	47722578.048706055
512	O3	95197507.31331961
1024	O3	194773018.36013794
2048	O3	380039453.5064697
4096	O3	767271995.5444336
8192	O3	1522262811.6607666
16384	O3	3019198179.244995
32768	O3	6083853483.200073
32	O3-openmp	582517.6536373147
64	O3-openmp	1046894.1663861093
128	O3-openmp	1978273.4456035376
256	O3-openmp	3837189.8315765047
512	O3-openmp	7563108.983247177
1024	O3-openmp	14995372.041742852
2048	O3-openmp	29854536.056518555
4096	O3-openmp	81155816.71396892
8192	O3-openmp	140447298.68570963
16384	O3-openmp	247943083.4452311
32768	O3-openmp	483107805.2520752
