n	series	time
32	O0	99888573.85698274
64	O0	208739279.0005348
128	O0	413112816.4990514
256	O0	825304464.0005101
512	O0	1657119721.0032551
1024	O0	3222899835.000135
2048	O0	6181517444.001657
4096	O0	12996442481.999111
8192	O0	24632336885.999393
16384	O0	49195365546.9988
32768	O0	98815941233.99918
32	O3	7377840.586978773
64	O3	14298052.877592808
128	O3	28030491.919926133
256	O3	55463974.769316755
512	O3	110393662.00020595
1024	O3	219939187.00051534
2048	O3	439192072.0008784
4096	O3	876080362.9993461
8192	O3	1757512962.0017834
16384	O3	3514022325.998667
32768	O3	6955869050.001638
32	O3-openmp	7345555.318186764
64	O3-openmp	14326648.489834636
128	O3-openmp	28045593.480055686
256	O3-openmp	55544267.53839764
512	O3-openmp	110372119.50012231
1024	O3-openmp	220017868.3330402
2048	O3-openmp	439620555.00014687
4096	O3-openmp	877526256.001147
8192	O3-openmp	1733087918.0008197
16384	O3-openmp	3462345021.0019655
32768	O3-openmp	6949170035.000861
