n	series	time
32	O0	108228446.83389121
64	O0	225269122.33418748
128	O0	447560712.5004899
256	O0	900314837.9997584
512	O0	1799566887.9993901
1024	O0	3599165670.0025487
2048	O0	6897874865.000631
4096	O0	14395500735.998213
8192	O0	27591721418.000816
16384	O0	55207514759.000336
32768	O0	110342644223.99792
32	O3	11756282.12283635
64	O3	23359572.96660733
128	O3	46299204.40008088
256	O3	92161001.49978957
512	O3	183749243.749844
1024	O3	367414870.49948776
2048	O3	734145041.9989997
4096	O3	1467807983.0009665
8192	O3	2934439404.9985566
16384	O3	5870801608.99859
32768	O3	11743754257.000546
32	O3-openmp	650388.3696862876
64	O3-openmp	1258016.675044216
128	O3-openmp	2474559.7703152625
256	O3-openmp	4884338.020980016
512	O3-openmp	9702117.13886076
1024	O3-openmp	19387057.83332908
2048	O3-openmp	38578737.83332858
4096	O3-openmp	77074217.88897288
8192	O3-openmp	153548158.19955546
16384	O3-openmp	308096910.99966586
32768	O3-openmp	634800191.9977833
