n	series	time
32	O0	54218.93210215976
64	O0	97755.41037450919
128	O0	180911.40942002166
256	O0	356401.7554652751
512	O0	690848.3306922266
1024	O0	1364086.7056527387
2048	O0	2710845.9418614497
4096	O0	5384674.376937956
8192	O0	10795188.276936712
16384	O0	21564929.545451324
32768	O0	42864816.187602624
65536	O0	86249815.25008479
131072	O0	172104952.99968898
262144	O0	346771599.4993341
524288	O0	697523483.9992481
1048576	O0	1404054390.000965
32	O3	6330.397467048677
64	O3	10787.918823746486
128	O3	19042.8666150928
256	O3	36245.1029245876
512	O3	69332.62319614859
1024	O3	135673.2425002431
2048	O3	267954.7449660128
4096	O3	533126.2605919685
8192	O3	1064084.9458410384
16384	O3	2127624.934929845
32768	O3	4257926.126805748
65536	O3	8507013.320922852
131072	O3	17000256.515130766
262144	O3	33986295.97255162
524288	O3	67911601.06658936
1048576	O3	147310638.42773438
32	O3-openmp	6319.384485763707
64	O3-openmp	10705.309253740701
128	O3-openmp	18938.352588811114
256	O3-openmp	35962.326194790614
512	O3-openmp	68904.96341518022
1024	O3-openmp	134461.39355229627
2048	O3-openmp	265797.52236310515
4096	O3-openmp	529309.9229332189
8192	O3-openmp	1051660.0565867382
16384	O3-openmp	2104026.7772502727
32768	O3-openmp	4200302.912089639
65536	O3-openmp	8389435.618756765
131072	O3-openmp	16769386.473156158
262144	O3-openmp	33511888.413202196
524288	O3-openmp	67027115.82183838
1048576	O3-openmp	145677900.31433105
