n	series	time
32	O0	44192.25363348206
64	O0	71159.23333579894
128	O0	123780.36669437142
256	O0	232248.4802448532
512	O0	443519.10548243363
1024	O0	868683.4306859259
2048	O0	1711791.6368970685
4096	O0	3387607.0162145104
8192	O0	6793832.315981966
16384	O0	13501148.597866882
32768	O0	26799935.560960036
65536	O0	53495608.84328989
131072	O0	106901918.13877651
262144	O0	213111400.60424805
524288	O0	430002927.78015137
1048576	O0	863560676.574707
32	O3	8954.880887650144
64	O3	15665.875397242486
128	O3	28677.698164412384
256	O3	55438.354239546534
512	O3	107135.10976197654
1024	O3	211083.00517739265
2048	O3	417509.3636583926
4096	O3	831854.8962278967
8192	O3	1661409.6989563857
16384	O3	3317465.714368775
32768	O3	6622449.407037699
65536	O3	13246023.430014556
131072	O3	26542370.13596755
262144	O3	53050499.69599797
524288	O3	109218972.06987654
1048576	O3	223953326.5431722
32	O3-openmp	8983.898820075543
64	O3-openmp	15708.176308169077
128	O3-openmp	28711.796980397048
256	O3-openmp	55428.97573552683
512	O3-openmp	107369.62552633109
1024	O3-openmp	211090.86474561534
2048	O3-openmp	418765.69318999513
4096	O3-openmp	833979.0962592069
8192	O3-openmp	1664414.8599533807
16384	O3-openmp	3329490.479968843
32768	O3-openmp	6645395.642235165
65536	O3-openmp	13329212.482158955
131072	O3-openmp	26655747.34027569
262144	O3-openmp	53365927.476149336
524288	O3-openmp	109723295.48427036
1048576	O3-openmp	225845416.3869222
