n	series	time
32	O0	29275.91252054162
64	O0	51651.949911239586
128	O0	96392.22620723465
256	O0	186082.3684353045
512	O0	364891.8427074932
1024	O0	721469.7492284586
2048	O0	1437445.297744687
4096	O0	2873430.3032848164
8192	O0	5794777.132228954
16384	O0	11576571.549994698
32768	O0	23141371.499999274
65536	O0	46239486.53340146
131072	O0	92504743.00006317
262144	O0	185505662.7491649
524288	O0	373620309.50134796
1048576	O0	744212607.0018276
32	O3	3249.269429070437
64	O3	5715.055759319673
128	O3	10441.03439066801
256	O3	20334.425670976438
512	O3	39073.94909857998
1024	O3	76628.58296769291
2048	O3	151729.22523315623
4096	O3	308704.77591598267
8192	O3	672317.8828051931
16384	O3	1339149.430207919
32768	O3	2672805.6221332834
65536	O3	5354775.676935857
131072	O3	10700305.400006562
262144	O3	21572829.156298213
524288	O3	43831319.06251947
1048576	O3	88386932.25015959
32	O3-openmp	3254.5153453376643
64	O3-openmp	5696.580709531108
128	O3-openmp	10422.978270561996
256	O3-openmp	20343.064361516383
512	O3-openmp	39084.405103632576
1024	O3-openmp	76562.53527287356
2048	O3-openmp	151690.6894239468
4096	O3-openmp	301732.87500004115
8192	O3-openmp	602295.8605860653
16384	O3-openmp	1341346.3180085311
32768	O3-openmp	2679337.4827704113
65536	O3-openmp	5358077.307671639
131072	O3-openmp	10792099.061542941
262144	O3-openmp	21581050.21874235
524288	O3-openmp	43754640.43732791
1048576	O3-openmp	88291122.1251561
