n	series	time
32	O0	42921.86637643519
64	O0	75279.70362374205
128	O0	139855.90565654138
256	O0	269239.4700002646
512	O0	527137.9397120085
1024	O0	1043224.1609526157
2048	O0	2073733.5976291054
4096	O0	4136167.254453744
8192	O0	8268199.564704178
16384	O0	16511871.595260648
32768	O0	33006473.238076847
65536	O0	66043625.545386344
131072	O0	133641346.59932461
262144	O0	264228340.00065148
524288	O0	529391117.0010688
1048576	O0	1065896240.9979722
32	O3	4431.4659410126105
64	O3	8044.021529435902
128	O3	14921.17753488738
256	O3	29231.857763642518
512	O3	56790.98791149695
1024	O3	111861.3659904458
2048	O3	221759.03581626154
4096	O3	441621.6561516228
8192	O3	882479.1878970953
16384	O3	1765315.4130998391
32768	O3	3527718.494940082
65536	O3	7059007.676772778
131072	O3	14114756.795903787
262144	O3	28286787.960096262
524288	O3	56967420.66659984
1048576	O3	123830330.50051987
32	O3-openmp	4367.978621599682
64	O3-openmp	7923.126086867285
128	O3-openmp	14725.994254918067
256	O3-openmp	28934.150748345204
512	O3-openmp	56282.08960033397
1024	O3-openmp	110896.72779114859
2048	O3-openmp	220211.6453743592
4096	O3-openmp	439454.6762857432
8192	O3-openmp	877819.9473015951
16384	O3-openmp	1753053.5313239954
32768	O3-openmp	3504652.9449937223
65536	O3-openmp	7014763.75998027
131072	O3-openmp	14032434.880064102
262144	O3-openmp	28111043.84003556
524288	O3-openmp	56636037.250124596
1048576	O3-openmp	123266788.66702424
