n	series	time
32	O0	4963600.418447015
64	O0	4967537.978719771
128	O0	4963593.460980255
256	O0	4961306.666668442
512	O0	4977468.19857626
1024	O0	4909575.835725783
2048	O0	5001110.379998864
4096	O0	5109399.613143832
8192	O0	5323818.183187679
16384	O0	5752653.157039524
32768	O0	6628393.396241799
65536	O0	8399801.73491696
131072	O0	11943851.966091227
262144	O0	19028504.081074357
524288	O0	33130621.523880452
1048576	O0	61358595.00004285
32	O3	200212.63244733628
64	O3	200628.61948095282
128	O3	201068.89132040113
256	O3	202429.7044649871
512	O3	205281.8225625673
1024	O3	205431.96025883057
2048	O3	208362.66217523924
4096	O3	213023.04973932847
8192	O3	222157.20740918803
16384	O3	239468.7116003639
32768	O3	275221.66976298677
65536	O3	354509.3536376953
131072	O3	503295.8984375
262144	O3	744732.8973323741
524288	O3	1283850.8011004247
1048576	O3	2505251.1563865086
32	O3-openmp	200147.76237492156
64	O3-openmp	200336.77237062503
128	O3-openmp	200935.1956994881
256	O3-openmp	201991.63110654362
512	O3-openmp	203804.0061155307
1024	O3-openmp	203937.89109703127
2048	O3-openmp	206757.64830461104
4096	O3-openmp	211122.09637576336
8192	O3-openmp	220131.2216020448
16384	O3-openmp	238590.5132352149
32768	O3-openmp	273240.1616307183
65536	O3-openmp	342561.5407716038
131072	O3-openmp	477033.6463163723
262144	O3-openmp	837954.7621431724
524288	O3-openmp	1369826.9613087177
1048576	O3-openmp	2541666.9007894155
