n	series	time
32	O0	4743274.80470812
64	O0	4732102.961153598
128	O0	4739350.563771016
256	O0	4747032.3082541125
512	O0	4765113.194783528
1024	O0	4796852.804210088
2048	O0	4860778.64964803
4096	O0	4978386.222893464
8192	O0	5199181.592022931
16384	O0	5619650.886904809
32768	O0	6474011.47418552
65536	O0	8206785.426420324
131072	O0	11647911.866505941
262144	O0	18501564.07607229
524288	O0	32056353.308937766
1048576	O0	59675077.59730021
32	O3	197860.41335197492
64	O3	198142.43543330193
128	O3	198600.17384197694
256	O3	199573.0699128137
512	O3	201126.5846478189
1024	O3	201536.5532661977
2048	O3	204609.72440577
4096	O3	209148.53508792707
8192	O3	218426.5303351392
16384	O3	238597.94135800414
32768	O3	274602.26969608566
65536	O3	346959.52333236707
131072	O3	497633.9685891483
262144	O3	777716.9015672472
524288	O3	1374761.4199720968
1048576	O3	2536865.2481963667
32	O3-openmp	198504.28142244855
64	O3-openmp	198813.61897208967
128	O3-openmp	199250.4910168895
256	O3-openmp	200224.6452100349
512	O3-openmp	202672.8319901007
1024	O3-openmp	202169.2419837438
2048	O3-openmp	204889.18873301725
4096	O3-openmp	209301.8615905123
8192	O3-openmp	219439.22687743304
16384	O3-openmp	237373.192889396
32768	O3-openmp	272330.14310844213
65536	O3-openmp	347304.2377931503
131072	O3-openmp	503136.63482666016
262144	O3-openmp	776418.5611530312
524288	O3-openmp	1349517.1460572465
1048576	O3-openmp	2670645.2570655793
