n	series	time
32	O0	5037772.930008941
64	O0	5021844.669048366
128	O0	5019493.884901749
256	O0	5029811.949655289
512	O0	5048582.652175421
1024	O0	5077371.528993051
2048	O0	5141531.4705991475
4096	O0	5266886.624052229
8192	O0	5494644.562503481
16384	O0	5978864.504277615
32768	O0	6937697.91091609
65536	O0	8887993.164581196
131072	O0	12758380.581825888
262144	O0	20418516.088230878
524288	O0	35758280.34990991
1048576	O0	66426024.54534922
32	O3	218180.60623017658
64	O3	218493.2249613279
128	O3	219047.4463563164
256	O3	220217.88207545204
512	O3	221911.43771772797
1024	O3	225626.05736405315
2048	O3	225603.88692065468
4096	O3	231614.42243674802
8192	O3	242908.74878527757
16384	O3	267030.7663377662
32768	O3	311775.7983086947
65536	O3	403785.7514431233
131072	O3	588242.7884143549
262144	O3	933174.6866664616
524288	O3	1617093.3456211763
1048576	O3	2987651.397443887
32	O3-openmp	219295.06946183578
64	O3-openmp	217829.9670298399
128	O3-openmp	218412.72769775408
256	O3-openmp	219346.01411181942
512	O3-openmp	221766.62175765372
1024	O3-openmp	223411.36706862866
2048	O3-openmp	227445.0665789227
4096	O3-openmp	233097.84961628573
8192	O3-openmp	244602.9302163162
16384	O3-openmp	267789.5517372555
32768	O3-openmp	315784.93143987295
65536	O3-openmp	420151.9075065659
131072	O3-openmp	587939.3159642966
262144	O3-openmp	927115.0621706122
524288	O3-openmp	1612574.085249879
1048576	O3-openmp	2993070.3390613017
