n	series	time
32	O0	4506518.896772421
64	O0	4497733.006409805
128	O0	4508575.193552045
256	O0	4501277.425808967
512	O0	4518980.219361237
1024	O0	4549790.396110922
2048	O0	4611100.388142643
4096	O0	4731004.817561345
8192	O0	4948577.276597803
16384	O0	5382021.0307514155
32768	O0	6269588.7410687385
65536	O0	8061881.6436667815
131072	O0	11635675.016683914
262144	O0	18763767.91895726
524288	O0	32931076.047610812
1048576	O0	61546789.090987824
32	O3	232095.9672508551
64	O3	225235.54744269577
128	O3	225877.87645123524
256	O3	227158.28237589108
512	O3	229567.85081898162
1024	O3	231805.6274840719
2048	O3	237546.81241564892
4096	O3	239767.3189001661
8192	O3	251034.55826529473
16384	O3	269680.51348286634
32768	O3	312859.7774801708
65536	O3	401701.9913949045
131072	O3	579645.009105095
262144	O3	895203.3665382969
524288	O3	1544514.2649037677
1048576	O3	2799904.236952675
32	O3-openmp	227264.28599156893
64	O3-openmp	228209.82431593025
128	O3-openmp	229419.0963930603
256	O3-openmp	231185.24843282186
512	O3-openmp	233993.7985295592
1024	O3-openmp	238513.77709613807
2048	O3-openmp	245120.34978972163
4096	O3-openmp	253057.40859817425
8192	O3-openmp	264889.7612558761
16384	O3-openmp	278063.1048449918
32768	O3-openmp	312458.6770739221
65536	O3-openmp	397592.21294779325
131072	O3-openmp	580560.777317615
262144	O3-openmp	900588.401546934
524288	O3-openmp	1542382.5198213547
1048576	O3-openmp	2813925.1895159
